beta_deg,M_Mach0.4,Cm_Mach0.4,M_Mach0.5,Cm_Mach0.5,M_Mach0.6,Cm_Mach0.6
-15.0,-1.9366077491490936,-0.078157,-3.0286181899174554,-0.078157,-4.359502091982393,-0.078157
-14.75,-1.9072453096652124,-0.076972,-2.982698917746668,-0.076972,-4.293404237932223,-0.076972
-14.5,-1.8777094211717222,-0.07578,-2.9365083924913282,-0.07578,-4.226915932423529,-0.07578
-14.25,-1.848049640528511,-0.074583,-2.890124115032736,-0.074583,-4.160148733015889,-0.074583
-14.0,-1.8182411893056343,-0.07338,-2.843507334930241,-0.07338,-4.0930468609295145,-0.07338
-13.75,-1.788308845933037,-0.072172,-2.796696802624494,-0.072172,-4.025666094944193,-0.072172
-13.5,-1.7582278319807738,-0.070958,-2.7496537676748436,-0.070958,-3.9579506562801368,-0.070958
-13.25,-1.7280229258787903,-0.069739,-2.7024169805219413,-0.069739,-3.889956323717135,-0.069739
-13.0,-1.6976941276270858,-0.068515,-2.6549864411657875,-0.068515,-3.821683097255188,-0.068515
-12.75,-1.6672166587957156,-0.067285,-2.60732339916573,-0.067285,-3.7530751981145047,-0.067285
-12.5,-1.6366152978146244,-0.06605,-2.5594666049624206,-0.06605,-3.684188405074876,-0.06605
-12.25,-1.6059148231137566,-0.064811,-2.511454808996509,-0.064811,-3.61507849691609,-0.064811
-12.0,-1.5750656778332235,-0.063566,-2.4632105103866953,-0.063566,-3.54563391607857,-0.063566
-11.75,-1.5441174188329139,-0.062317,-2.4148112100142796,-0.062317,-3.4759662201218933,-0.062317
-11.5,-1.513045267682883,-0.061063,-2.366218157438611,-0.061063,-3.4060196302662704,-0.061063
-11.25,-1.4818492243831312,-0.059804,-2.3174313526596912,-0.059804,-3.3357941465117023,-0.059804
-11.0,-1.4505540673636024,-0.058541,-2.268489546118169,-0.058541,-3.2653455476379762,-0.058541
-10.75,-1.4191350181943525,-0.057273,-2.2193539873733945,-0.057273,-3.194618054865304,-0.057273
