# TABLA DE CARGA DE CONTINGENCIA — NO ES CFD
# Fuente: XFLR5 v6.61, metodo de paneles 3D, flujo potencial (inviscid)
# Geometria: doble cuna, Nalci & Kayran (2014), escala real x lambda=1.0
# Eje de bisagra: 50% cuerda de raiz
# Condicion de vuelo: nivel del mar, T=15C, rho=1.225 kg/m3
# LIMITACIONES:
#   - Sin viscosidad ni compresibilidad (Cm identico entre Mach, verificado)
#   - Solo 2 dimensiones: Mach y angulo TOTAL (no AoA/deflexion por separado)
#   - NO incluye velocidad angular de deflexion (XFLR5 es estatico/cuasi-estacionario)
#   - Factor de escala lambda=1.0 -- ver PENDIENTE en Geometria_Aleta_Referencia.md §5
#   - No cumple RNF-PRE-01 (no hay error de interpolacion respecto a CFD, no hay CFD de referencia)
#   - USO PREVISTO: prueba del pipeline de software (interpolacion, control), no caracterizacion real
# Ver: 04_CFD/02_Valores_Referencia_XFLR5.md, 04_CFD/01_Casos/01_Geometria_Aleta_Referencia.md
mach,angulo_deg,torque_bisagra_Nm,torque_bisagra_Nm_referencia_sin_escalar,lambda_escala_aplicado
0.4,-15.0,-1.9366077491490936,-1.9366077491490936,1.0
0.4,-14.75,-1.9072453096652124,-1.9072453096652124,1.0
0.4,-14.5,-1.8777094211717225,-1.8777094211717225,1.0
0.4,-14.25,-1.848049640528511,-1.848049640528511,1.0
0.4,-14.0,-1.8182411893056345,-1.8182411893056345,1.0
0.4,-13.75,-1.788308845933037,-1.788308845933037,1.0
0.4,-13.5,-1.7582278319807738,-1.7582278319807738,1.0
0.4,-13.25,-1.7280229258787905,-1.7280229258787905,1.0
0.4,-13.0,-1.6976941276270858,-1.6976941276270858,1.0
0.4,-12.75,-1.6672166587957156,-1.6672166587957156,1.0
0.4,-12.5,-1.6366152978146244,-1.6366152978146244,1.0
0.4,-12.25,-1.6059148231137566,-1.6059148231137566,1.0
0.4,-12.0,-1.5750656778332237,-1.5750656778332237,1.0
0.4,-11.75,-1.544117418832914,-1.544117418832914,1.0
0.4,-11.5,-1.513045267682883,-1.513045267682883,1.0
0.4,-11.25,-1.4818492243831312,-1.4818492243831312,1.0
0.4,-11.0,-1.4505540673636024,-1.4505540673636024,1.0
0.4,-10.75,-1.4191350181943525,-1.4191350181943525,1.0
0.4,-10.5,-1.3876168553053263,-1.3876168553053263,1.0
0.4,-10.25,-1.3559995786965229,-1.3559995786965229,1.0
0.4,-10.0,-1.324283188367943,-1.324283188367943,1.0
0.4,-9.75,-1.2924676843195857,-1.2924676843195857,1.0
