# Force coefficients
# dragDir       : (9.97564083e-01 -6.97560058e-02 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (6.97560058e-02 9.97564083e-01 0.00000000e+00)
# rollAxis      : (9.97564083e-01 -6.97560058e-02 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (6.97560058e-02 9.97564083e-01 0.00000000e+00)
# magUInf       : 3.40300000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
1               	2.83548475e+00	-1.37777026e-19	-7.07136623e+00	3.53568311e-01	2.66052723e+00	1.41774238e-01	1.77131069e+00	1.06417406e+00	1.41774238e-01	-1.41774238e-01	-8.75155883e-01	-6.19621035e+00
2               	2.41841744e+00	-9.62295813e-20	-6.92637071e+00	3.46318535e-01	2.53213416e+00	1.20920872e-01	1.55552725e+00	8.62890183e-01	1.20920872e-01	-1.20920872e-01	-9.31051194e-01	-5.99531951e+00
3               	1.22385428e+00	-5.81276465e-20	-3.78069223e+00	1.89034611e-01	1.29972383e+00	6.11927139e-02	8.00961750e-01	4.22892528e-01	6.11927139e-02	-6.11927139e-02	-5.90622284e-01	-3.19006994e+00
4               	1.52209619e-01	-1.49887580e-20	-6.18427025e-01	3.09213513e-02	9.83184148e-02	7.61048093e-03	1.07026161e-01	4.51834580e-02	7.61048093e-03	-7.61048093e-03	-2.10895098e-01	-4.07531927e-01
5               	-3.83342120e-01	1.03708197e-20	1.08435836e+00	-5.42179179e-02	-5.23817213e-01	-1.91671060e-02	-2.45888978e-01	-1.37453142e-01	-1.91671060e-02	1.91671060e-02	1.83619652e-02	1.06599639e+00
6               	-4.19253507e-01	1.62453488e-20	1.28244180e+00	-6.41220899e-02	-5.69196218e-01	-2.09626753e-02	-2.73748843e-01	-1.45504664e-01	-2.09626753e-02	2.09626753e-02	7.20246809e-02	1.21041712e+00
7               	-2.00872978e-01	1.00324810e-20	6.50045203e-01	-3.25022602e-02	-3.10033289e-01	-1.00436489e-02	-1.32938749e-01	-6.79342286e-02	-1.00436489e-02	1.00436489e-02	1.49893122e-02	6.35055891e-01
8               	4.16056014e-02	1.26615400e-21	-1.12653046e-01	5.63265231e-03	-1.54999978e-02	2.08028007e-03	2.64354530e-02	1.51701484e-02	2.08028007e-03	-2.08028007e-03	-7.18265210e-02	-4.08265253e-02
9               	1.81771590e-01	-5.13883836e-21	-6.00181019e-01	3.00090510e-02	1.62307809e-01	9.08857951e-03	1.20894846e-01	6.08767442e-02	9.08857951e-03	-9.08857951e-03	-1.37782701e-01	-4.62398318e-01
10              	2.05809646e-01	-7.67464161e-21	-7.40627656e-01	3.70313828e-02	2.03309560e-01	1.02904823e-02	1.39936206e-01	6.58734400e-02	1.02904823e-02	-1.02904823e-02	-1.67004269e-01	-5.73623388e-01
11              	1.61540464e-01	-7.07470966e-21	-6.52862448e-01	3.26431224e-02	1.59558209e-01	8.07702320e-03	1.13413354e-01	4.81271096e-02	8.07702320e-03	-8.07702320e-03	-1.66873016e-01	-4.85989433e-01
12              	1.03038048e-01	-5.36533791e-21	-4.99323752e-01	2.49661876e-02	9.55146994e-02	5.15190240e-03	7.64852116e-02	2.65528364e-02	5.15190240e-03	-5.15190240e-03	-1.54147177e-01	-3.45176576e-01
13              	6.30657016e-02	-3.95287327e-21	-3.89226715e-01	1.94613357e-02	5.19774417e-02	3.15328508e-03	5.09941865e-02	1.20715150e-02	3.15328508e-03	-3.15328508e-03	-1.42635916e-01	-2.46590799e-01
14              	4.95028554e-02	-3.39404470e-21	-3.56655851e-01	1.78327925e-02	3.97205728e-02	2.47514277e-03	4.25842202e-02	6.91863515e-03	2.47514277e-03	-2.47514277e-03	-1.38607353e-01	-2.18048498e-01
15              	5.45314195e-02	-3.56597747e-21	-3.82705980e-01	1.91352990e-02	4.96993278e-02	2.72657098e-03	4.64010088e-02	8.13041075e-03	2.72657098e-03	-2.72657098e-03	-1.41653662e-01	-2.41052318e-01
16              	6.63502649e-02	-4.10091430e-21	-4.32493938e-01	2.16246969e-02	6.76317735e-02	3.31751324e-03	5.47998293e-02	1.15504355e-02	3.31751324e-03	-3.31751324e-03	-1.48615196e-01	-2.83878743e-01
17              	7.61800883e-02	-4.64936302e-21	-4.77766238e-01	2.38883119e-02	8.26945772e-02	3.80900441e-03	6.19783560e-02	1.42017322e-02	3.80900441e-03	-3.80900441e-03	-1.56188542e-01	-3.21577696e-01
18              	8.07115384e-02	-5.02916455e-21	-5.07008940e-01	2.53504470e-02	9.08963047e-02	4.03557692e-03	6.57062162e-02	1.50053222e-02	4.03557692e-03	-4.03557692e-03	-1.62608165e-01	-3.44400775e-01
19              	8.06637513e-02	-5.21130150e-21	-5.21508135e-01	2.60754068e-02	9.32428739e-02	4.03318756e-03	6.64072824e-02	1.42564689e-02	4.03318756e-03	-4.03318756e-03	-1.67511194e-01	-3.53996942e-01
20              	7.84407531e-02	-5.25696711e-21	-5.28565027e-01	2.64282513e-02	9.28440644e-02	3.92203766e-03	6.56486279e-02	1.27921252e-02	3.92203766e-03	-3.92203766e-03	-1.71438449e-01	-3.57126578e-01
21              	7.61539398e-02	-5.24323953e-21	-5.34737163e-01	2.67368582e-02	9.23620939e-02	3.80769699e-03	6.48138281e-02	1.13401117e-02	3.80769699e-03	-3.80769699e-03	-1.75006488e-01	-3.59730675e-01
22              	7.48656601e-02	-5.22626456e-21	-5.43518762e-01	2.71759381e-02	9.30921574e-02	3.74328301e-03	6.46087681e-02	1.02568920e-02	3.74328301e-03	-3.74328301e-03	-1.78667223e-01	-3.64851538e-01
23              	7.46596926e-02	-5.23022311e-21	-5.55322517e-01	2.77661259e-02	9.50843879e-02	3.73298463e-03	6.50959722e-02	9.56372043e-03	3.73298463e-03	-3.73298463e-03	-1.82576871e-01	-3.72745647e-01
24              	7.51009119e-02	-5.25609204e-21	-5.68931432e-01	2.84465716e-02	9.77406695e-02	3.75504560e-03	6.59970276e-02	9.10388438e-03	3.75504560e-03	-3.75504560e-03	-1.86725046e-01	-3.82206385e-01
25              	7.56824754e-02	-5.29290034e-21	-5.82709201e-01	2.91354600e-02	1.00393062e-01	3.78412377e-03	6.69766977e-02	8.70577766e-03	3.78412377e-03	-3.78412377e-03	-1.90961538e-01	-3.91747663e-01
26              	7.60875863e-02	-5.33197546e-21	-5.95672982e-01	2.97836491e-02	1.02659357e-01	3.80437932e-03	6.78274423e-02	8.26014409e-03	3.80437932e-03	-3.80437932e-03	-1.95177134e-01	-4.00495848e-01
27              	7.62283200e-02	-5.36865436e-21	-6.07565407e-01	3.03782703e-02	1.04466488e-01	3.81141600e-03	6.84924303e-02	7.73588966e-03	3.81141600e-03	-3.81141600e-03	-1.99316215e-01	-4.08249192e-01
28              	7.61667459e-02	-5.40220018e-21	-6.18591040e-01	3.09295520e-02	1.05928841e-01	3.80833729e-03	6.90129249e-02	7.15382096e-03	3.80833729e-03	-3.80833729e-03	-2.03366679e-01	-4.15224360e-01
29              	7.60127823e-02	-5.43381883e-21	-6.29110863e-01	3.14555431e-02	1.07202285e-01	3.80063912e-03	6.94619343e-02	6.55084803e-03	3.80063912e-03	-3.80063912e-03	-2.07353146e-01	-4.21757716e-01
30              	7.58470861e-02	-5.46509334e-21	-6.39389668e-01	3.19694834e-02	1.08396556e-01	3.79235431e-03	6.98930264e-02	5.95405966e-03	3.79235431e-03	-3.79235431e-03	-2.11298278e-01	-4.28091390e-01
31              	7.56950352e-02	-5.49551870e-21	-6.49472211e-01	3.24736105e-02	1.09536419e-01	3.78475176e-03	7.03211281e-02	5.37390704e-03	3.78475176e-03	-3.78475176e-03	-2.15199686e-01	-4.34272525e-01
32              	7.55529990e-02	-5.52402050e-21	-6.59348532e-01	3.29674266e-02	1.10608260e-01	3.77764995e-03	7.07439261e-02	4.80907290e-03	3.77764995e-03	-3.77764995e-03	-2.19066006e-01	-4.40282526e-01
33              	7.53975702e-02	-5.54957256e-21	-6.68931906e-01	3.34465953e-02	1.11575401e-01	3.76987851e-03	7.11453804e-02	4.25218982e-03	3.76987851e-03	-3.76987851e-03	-2.22890552e-01	-4.46041354e-01
34              	7.52074235e-02	-5.57183346e-21	-6.78144059e-01	3.39072030e-02	1.12413275e-01	3.76037118e-03	7.15109147e-02	3.69650880e-03	3.76037118e-03	-3.76037118e-03	-2.26658755e-01	-4.51485305e-01
35              	7.49760164e-02	-5.59068911e-21	-6.87003076e-01	3.43501538e-02	1.13120627e-01	3.74880082e-03	7.18381620e-02	3.13785439e-03	3.74880082e-03	-3.74880082e-03	-2.30380911e-01	-4.56622166e-01
36              	7.47016957e-02	-5.60639125e-21	-6.95505409e-01	3.47752704e-02	1.13703964e-01	3.73508479e-03	7.21261183e-02	2.57557743e-03	3.73508479e-03	-3.73508479e-03	-2.34048740e-01	-4.61456669e-01
37              	7.43881092e-02	-5.61888255e-21	-7.03664926e-01	3.51832463e-02	1.14176694e-01	3.71940546e-03	7.23773009e-02	2.01080826e-03	3.71940546e-03	-3.71940546e-03	-2.37655769e-01	-4.66009157e-01
38              	7.40417339e-02	-5.62840785e-21	-7.11505001e-01	3.55752500e-02	1.14554123e-01	3.70208670e-03	7.25961170e-02	1.44561693e-03	3.70208670e-03	-3.70208670e-03	-2.41198377e-01	-4.70306624e-01
39              	7.36685942e-02	-5.63557699e-21	-7.19050787e-01	3.59525393e-02	1.14849872e-01	3.68342971e-03	7.27868364e-02	8.81757762e-04	3.68342971e-03	-3.68342971e-03	-2.44675522e-01	-4.74375265e-01
40              	7.32711459e-02	-5.64074518e-21	-7.26314535e-01	3.63157267e-02	1.15071764e-01	3.66355730e-03	7.29512997e-02	3.19846239e-04	3.66355730e-03	-3.66355730e-03	-2.48085503e-01	-4.78229032e-01
41              	7.28514250e-02	-5.64439673e-21	-7.33308749e-01	3.66654375e-02	1.15226247e-01	3.64257125e-03	7.30911500e-02	-2.39724967e-04	3.64257125e-03	-3.64257125e-03	-2.51428127e-01	-4.81880622e-01
